0001665160-19-001053	Cityfreighter Inc
0001758617-19-000003	Karaganda, LLC
0001665160-19-001025	Roy Jones Jr. Promotions, Inc.
0001665160-19-001020	GoSun Inc.
0001665160-19-001015	GoSun Inc.
0001665160-19-000998	VLISO Inc.
0001665160-19-000992	Dapper Boi, Inc.
0001665160-19-000987	VLISO Inc.
0001665160-19-000983	Dapper Boi, Inc.
0001665160-19-000977	El Tinieblo International, Inc.
0001665160-19-000975	Mycroft AI Inc.
0001665160-19-000974	Breaking Normal, Inc.
0001665160-19-000973	StorEn Technologies Inc.
0001665160-19-000970	Wand USA Inc.
0001665160-19-000969	Flower Turbines LLC
0001665160-19-000968	Osiris Media Corp.
